"good.names","Synonyms","Family","Order","dim1.min2","dim1.min","dim1.max","dim1.max2","dim2.min2","dim2.min","dim2.max","dim2.max2","shape","EquatorialAxis","PolarAxis","EquatorialAxis_2","PolarAxis_2","SporeVolume","SporeVolume_2","Dimension_units","Volume_units","Phylum","SporeArea","spore_type"
"Diversispora_omaniana","","Diversisporaceae","Diversisporales",85,136,136,170,85,136,136,170,"globose to subglobose",136,136,127.5,127.5,1317089.68167139,1085248.45596703,"Micrometers","Cubic micrometers","Glomeromycota",14526.7244301992,"Azygospores"
"Diversispora_peridiata",NA,"Diversisporaceae","Diversisporales",35,74,74,100,35,74,74,100,NA,74,74,67.5,67.5,212174.790243045,161031.167189083,"Micrometers","Cubic micrometers","Glomeromycota",4300.84034276443,"Azygospores"
"Diversispora_przelewicensis","Glomus_przelewicense Glomus_przelewicensis","Diversisporaceae","Diversisporales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Micrometers","Cubic micrometers","Glomeromycota",NA,"Azygospores"
"Diversispora_slowinskiensis",NA,"Diversisporaceae","Diversisporales",75,138,138,190,75,138,138,190,NA,138,138,132.5,132.5,1376055.28138417,1217997.10804294,"Micrometers","Cubic micrometers","Glomeromycota",14957.122623741,"Azygospores"
"Diversispora_spurca","Glomus_spurcum","Diversisporaceae","Diversisporales",57,75,110,130,40,75,110,115,"globose to subglobose",92.5,92.5,77.5,93.5,414403.887193447,294044.891145136,"Micrometers","Cubic micrometers","Glomeromycota",6720.06303556942,"Azygospores"
"Diversispora_trimurales","Glomus_trimurales","Diversisporaceae","Diversisporales",60,121,121,130,70,118,118,200,"globose to subglobose to ellipsoid",118,121,95,135,882161.311523116,637939.658219577,"Micrometers","Cubic micrometers","Glomeromycota",11213.9149769888,"Azygospores"
"Diversispora_varaderana",NA,"Diversisporaceae","Diversisporales",60,75,75,90,60,75,75,90,NA,75,75,75,75,220893.233455532,220893.233455532,"Micrometers","Cubic micrometers","Glomeromycota",4417.86466911065,"Azygospores"
"Dominikia_achra","Glomus_achrum","Glomeraceae","Glomerales",22,43,43,55,22,43,43,55,"globose to subglobose",43,43,38.5,38.5,41629.7678514939,29880.0149775273,"Micrometers","Cubic micrometers","Glomeromycota",1452.20120412188,"Azygospores"
"Dominikia_aurea","Glomus_aureum","Glomeraceae","Glomerales",36,55,65,65,30,45,52,52,"globose to ovoid",48.5,60,41,50.5,73898.1131940659,44448.5618599274,"Micrometers","Cubic micrometers","Glomeromycota",2285.50865548657,"Azygospores"
"Dominikia_bernensis",NA,"Glomeraceae","Glomerales",19,25,43,52,19,25,42,46,NA,33.5,34,32.5,35.5,19978.6966811165,19633.3178387625,"Micrometers","Cubic micrometers","Glomeromycota",894.568508109694,"Azygospores"
"Dominikia_compressa","Glomus_compressum","Glomeraceae","Glomerales",50,68,94,103,50,68,94,103,NA,81,81,76.5,76.5,278261.856902736,234413.666488879,"Micrometers","Cubic micrometers","Glomeromycota",5152.99735005066,"Azygospores"
"Dominikia_difficilevidera",NA,"Glomeraceae","Glomerales",31,36,36,45,31,36,36,45,NA,36,36,38,38,24429.0244743142,28730.9120146299,"Micrometers","Cubic micrometers","Glomeromycota",1017.87601976309,"Azygospores"
"Dominikia_disticha",NA,"Glomeraceae","Glomerales",28,40,40,57,28,40,40,57,NA,40,40,42.5,42.5,33510.3216382911,40194.3872580382,"Micrometers","Cubic micrometers","Glomeromycota",1256.63706143592,"Azygospores"
"Dominikia_duoreactiva",NA,"Glomeraceae","Glomerales",30,52,52,70,30,52,52,70,NA,52,52,50,50,73622.1766393256,65449.8469497874,"Micrometers","Cubic micrometers","Glomeromycota",2123.7166338267,"Azygospores"
"Dominikia_indica","Dominikia_indicum Glomus_indicum","Glomeraceae","Glomerales",17,32,32,52,17,32,32,52,"globose to subglobose",32,32,34.5,34.5,17157.2846788051,21500.8637716277,"Micrometers","Cubic micrometers","Glomeromycota",804.247719318987,"Azygospores"
"Dominikia_iranica","Rhizophagus_iranicus Glomus_iranicum","Glomeraceae","Glomerales",13,40,40,56,13,40,40,56,"globose to subglobose",40,40,34.5,34.5,33510.3216382911,21500.8637716277,"Micrometers","Cubic micrometers","Glomeromycota",1256.63706143592,"Azygospores"
"Dominikia_minuta","Glomus_minutum","Glomeraceae","Glomerales",18,39,39,65,18,39,39,65,"globose to subglobose",39,39,41.5,41.5,31059.3557697155,37423.3716378781,"Micrometers","Cubic micrometers","Glomeromycota",1194.59060652752,"Azygospores"
"Entrophospora_baltica",NA,"","",110,177,177,220,110,177,177,220,"globose to subglobose",177,177,165,165,2903477.20920728,2352071.14983451,"Micrometers","Cubic micrometers","Glomeromycota",24605.7390610787,"Azygospores"
"Entrophospora_infrequens","Glomus_infrequens","Entrophosporaceae","unknown",69,69,183,225,69,69,164,164,"subgloboser to ellipsoid",116.5,126,116.5,147,895408.098746366,1044642.78187076,"Micrometers","Cubic micrometers","Glomeromycota",11528.8596405111,"Azygospores"
"Entrophospora_nevadensis",NA,"sequences cluster inDiversisporaceae","sequences cluster inDiversisporales",90,90,115,115,90,90,115,115,"globose to subglobose",102.5,102.5,102.5,102.5,563858.612703287,563858.612703287,"Micrometers","Cubic micrometers","Glomeromycota",8251.58945419444,"Azygospores"
"Funneliformis_africanum","Glomus_africanum","Glomeraceae","",60,87,87,125,60,87,87,125,"globose to subglobose",87,87,92.5,92.5,344791.364527807,414403.887193447,"Micrometers","Cubic micrometers","Glomeromycota",5944.67869875529,"Azygospores"
"Funneliformis_badium","Glomus_badium","Glomeraceae","Glomerales",33,51,90,90,50,75,120,120,"globose to subglobose to ovoid",70.5,97.5,61.5,85,253735.639405701,168332.424865567,"Micrometers","Cubic micrometers","Glomeromycota",5398.63062565321,"Azygospores"
"Funneliformis_caledonium","Endogone_macrocarpa_var_caledonia Glomus_caledonium","Glomeraceae","Glomerales",130,130,279,279,120,120,272,272,"globose to subglobose",196,204.5,196,204.5,4113429.68021208,4113429.68021208,"Micrometers","Cubic micrometers","Glomeromycota",31480.3291852965,"Azygospores"
"Funneliformis_coronatum","Glomus_coronatum","Glomeraceae","Glomerales",173,173,336,336,173,173,336,336,"globose to subglobose",254.5,254.5,254.5,254.5,8631017.20497731,8631017.20497731,"Micrometers","Cubic micrometers","Glomeromycota",50870.4353927936,"Azygospores"
"Funneliformis_fragilistratum","Glomus_fragilistratum","Glomeraceae","Glomerales",108,146,146,191,108,146,146,191,"globose",146,146,149.5,149.5,1629510.59909539,1749533.24838022,"Micrometers","Cubic micrometers","Glomeromycota",16741.54725098,"Azygospores"
"Funneliformis_geosporum","Endogone_macrocarpa_var_geospora Glomus_macrocarpum_var_geosporum Glomus_geosporum","Glomeraceae","Glomerales",110,110,290,290,110,110,290,290,"globose to subglobose to ellipsoid",200,200,200,200,4188790.20478639,4188790.20478639,"Micrometers","Cubic micrometers","Glomeromycota",31415.9265358979,"Azygospores"
"Funneliformis_mosseae","Endogone_mosseae Glomus_mosseae","Glomeraceae","Glomerales",105,105,310,310,110,110,305,305,"globose to ellipsoid",207.5,207.5,207.5,207.5,4677921.45473476,4677921.45473476,"Micrometers","Cubic micrometers","Glomeromycota",33816.2996727814,"Azygospores"
"Funneliformis_verruculosum","Glomus_verruculosum","Glomeraceae","Glomerales",150,189,189,265,150,189,189,265,"globose to subglobose",189,189,207.5,207.5,3534956.18213475,4677921.45473476,"Micrometers","Cubic micrometers","Glomeromycota",28055.2077947202,"Azygospores"
"Funneliformis_xanthium","Glomus_xanthium","Glomeraceae","Glomerales",23,50,50,75,23,50,50,75,"globose to subglobose",50,50,49,49,65449.8469497874,61600.8723503643,"Micrometers","Cubic micrometers","Glomeromycota",1963.49540849362,"Azygospores"
"Fuscutata_aurea",NA,"","",160,160,250,310,160,160,250,310,NA,205,205,235,235,4510868.9016263,6795199.45986777,"Micrometers","Cubic micrometers","Glomeromycota",33006.3578167778,"Azygospores"
"Geosiphon_pyriformis","Botrydium_pyriforme Geosiphonomyces_pyriformis","Geosiphonaceae","Archaeosporales",250,250,250,250,250,250,250,250,"globose",250,250,250,250,8181230.86872342,8181230.86872342,"Micrometers","Cubic micrometers","Glomeromycota",49087.3852123405,"Azygospores"
"Gigaspora_albida",NA,"Gigasporaceae","",143,143,330,350,143,143,330,350,"globose",236.5,236.5,246.5,246.5,6926152.6262923,7842407.28669034,"Micrometers","Cubic micrometers","Glomeromycota",43929.0864246869,"Azygospores"
"Gigaspora_candida","Gigaspora_alboaurantiaca","Gigasporaceae","Diversisporales",200,200,300,300,200,200,300,300,"globose",250,250,250,250,8181230.86872342,8181230.86872342,"Micrometers","Cubic micrometers","Glomeromycota",49087.3852123405,"Azygospores"
"Gigaspora_decipiens",NA,"Gigasporaceae","Diversisporales",320,320,490,490,320,320,490,490,"globose",405,405,405,405,34782732.1128419,34782732.1128419,"Micrometers","Cubic micrometers","Glomeromycota",128824.933751266,"Azygospores"
"Gigaspora_gigantea","Endogone_gigantea","Gigasporaceae","Diversisporales",353,353,368,368,345,345,398,398,"globose to ellipsoid",360.5,371.5,360.5,371.5,25279470.8189507,25279470.8189507,"Micrometers","Cubic micrometers","Glomeromycota",105185.038081626,"Azygospores"
"Gigaspora_lazzarii",NA,"","Diversisporales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Micrometers","Cubic micrometers","Glomeromycota",NA,"Azygospores"
"Gigaspora_margarita",NA,"Gigasporaceae","Diversisporales",260,260,480,480,260,260,480,480,"globose",370,370,370,370,26521848.7803806,26521848.7803806,"Micrometers","Cubic micrometers","Glomeromycota",107521.008569111,"Azygospores"
"Gigaspora_ramisporophora",NA,"Gigasporaceae","Diversisporales",96,200,450,567,96,200,450,567,"globose to subglobose",325,325,331.5,331.5,17974164.2185854,19074326.8620765,"Micrometers","Cubic micrometers","Glomeromycota",82957.6810088555,"Azygospores"
"Gigaspora_rosea",NA,"Gigasporaceae","Diversisporales",230,230,305,305,230,230,305,305,"globose",267.5,267.5,267.5,267.5,10022359.6071135,10022359.6071135,"Micrometers","Cubic micrometers","Glomeromycota",56200.1473296087,"Azygospores"
"Glomus_albidum","Glomus_albidus","","Glomerales",85,95,168,198,85,95,168,177,"globose to subglobose",131.5,131.5,131,141.5,1190627.42194517,1271445.220208,"Micrometers","Cubic micrometers","Glomeromycota",13581.3013910095,"Azygospores"
"Glomus_ambisporum",NA,"","",85,85,157,157,85,85,157,157,"globose to subglobose",121,121,121,121,927587.170497698,927587.170497698,"Micrometers","Cubic micrometers","Glomeromycota",11499.014510302,"Azygospores"
"Glomus_antarcticum",NA,"","",50,50,70,70,50,50,70,70,"globose to subglobose",60,60,60,60,113097.335529233,113097.335529233,"Micrometers","Cubic micrometers","Glomeromycota",2827.43338823081,"Azygospores"
"Glomus_arborense",NA,"","",24,24,55,55,50,50,50,50,NA,39.5,50,39.5,50,40847.2494813623,40847.2494813623,"Micrometers","Cubic micrometers","Glomeromycota",1551.16137270996,"Azygospores"
"Glomus_atrouva",NA,"","",100,100,180,200,100,100,180,200,"globose to subglobose",140,140,150,150,1436755.04024173,1767145.86764426,"Micrometers","Cubic micrometers","Glomeromycota",15393.80400259,"Azygospores"
"Glomus_australe","Endogone_australis","","",120,160,160,180,120,160,160,180,"globose",160,160,150,150,2144660.58485063,1767145.86764426,"Micrometers","Cubic micrometers","Glomeromycota",20106.1929829747,"Azygospores"
"Glomus_avelingiae",NA,"","",64,64,80,80,64,64,80,80,"globose to subglobose",72,72,72,72,195432.195794514,195432.195794514,"Micrometers","Cubic micrometers","Glomeromycota",4071.50407905237,"Azygospores"
"Glomus_bagyarajii",NA,"","",36,100.8,100.8,125.2,36,100.8,100.8,125.2,"globose to subglobose",100.8,100.8,80.6,80.6,536265.945260146,274159.783032769,"Micrometers","Cubic micrometers","Glomeromycota",7980.14799494265,"Azygospores"
"Glomus_bistratum",NA,"","",20,29,29,50,20,29,29,50,"globose to subglobose",29,29,35,35,12770.0505380669,22449.2975037771,"Micrometers","Cubic micrometers","Glomeromycota",660.519855417254,"Azygospores"
"Glomus_boreale","Endogone_borealis","","",125,125,145,145,100,100,110,110,"ellipsoid  ",105,135,105,135,779311.327631118,779311.327631118,"Micrometers","Cubic micrometers","Glomeromycota",11133.0189661588,"Azygospores"
"Glomus_botryoides",NA,"","",145,145,145,145,250,250,250,250,"globose to subglobose",145,250,145,250,2752166.06423856,2752166.06423856,"Micrometers","Cubic micrometers","Glomeromycota",28470.6834231575,"Azygospores"
"Glomus_brohultii",NA,"","",95,95,130,130,70,70,105,105,"globose to subglobose to irregular",87.5,112.5,87.5,112.5,450990.351638379,450990.351638379,"Micrometers","Cubic micrometers","Glomeromycota",7731.26317094363,"Azygospores"
"Glomus_caesaris",NA,"","",156,156,212,240,156,156,212,240,"globose",184,184,198,198,3261760.66698471,4064378.94691403,"Micrometers","Cubic micrometers","Glomeromycota",26590.440219984,"Azygospores"
"Glomus_canadense","Endogone_canadensis Glomus_canadensis","","",100,100,100,100,100,100,100,100,"ovoid to ellipsoid",100,100,100,100,523598.775598299,523598.775598299,"Micrometers","Cubic micrometers","Glomeromycota",7853.98163397448,"Azygospores"
"Glomus_canum",NA,"","",30,30,50,50,30,30,50,50,"globose to subglobose",40,40,40,40,33510.3216382911,33510.3216382911,"Micrometers","Cubic micrometers","Glomeromycota",1256.63706143592,"Azygospores"
"Glomus_cerebriforme",NA,"","",25,25,65,80,80,80,80,80,"globose to irregular",45,80,52.5,80,84823.0016469244,115453.530019425,"Micrometers","Cubic micrometers","Glomeromycota",2827.43338823081,"Azygospores"
"Glomus_citricola",NA,"","",35,35,65,65,60,60,90,90,NA,50,75,50,75,98174.770424681,98174.770424681,"Micrometers","Cubic micrometers","Glomeromycota",2945.24311274043,"Azygospores"
"Glomus_convolutum","Glomus_convolutus","","",81,81,193,193,67,67,193,193,"globose to ovoid",130,137,130,137,1212288.24514274,1212288.24514274,"Micrometers","Cubic micrometers","Glomeromycota",13987.9412901086,"Azygospores"
"Glomus_crenatum",NA,"","",100,100,208,208,100,100,208,208,"globose to subglobose to elliptical",154,154,154,154,1912320.95856175,1912320.95856175,"Micrometers","Cubic micrometers","Glomeromycota",18626.5028431339,"Azygospores"
"Glomus_cubense",NA,"none (invalidly published)","",20,20,48,48,24,54,82,82,"ovoid to ellipsoid to pyriform to irregular",34,68,34,53,41159.0525522311,32079.8497833566,"Micrometers","Cubic micrometers","Glomeromycota",1815.8405537749,"Azygospores"
"Glomus_cuneatum",NA,"","",70,70,120,120,180,180,180,180,"globose to ovoid to clavate to irregular",95,180,95,180,850586.210959436,850586.210959436,"Micrometers","Cubic micrometers","Glomeromycota",13430.3085940964,"Azygospores"
"Glomus_delhiense",NA,"","none (invalidly published)",100,100,125,125,100,100,125,125,"globose",112.5,112.5,112.5,112.5,745514.662912422,745514.662912422,"Micrometers","Cubic micrometers","Glomeromycota",9940.19550549895,"Azygospores"
"Septoglomus_deserticola","Glomus_deserticola","Glomeraceae","Glomerales",47,54,115,115,38,52,102,102,"globose to subglobose",77,84.5,70,81,262323.248374136,207816.354034965,"Micrometers","Cubic micrometers","Glomeromycota",5110.1931501455,"Azygospores"
"Glomus_dimorphicum",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Micrometers","Cubic micrometers","Glomeromycota",NA,"Azygospores"
"Glomus_dolichosporum",NA,"","",110,110,190,220,65,65,100,100,"ellipsoid to ovoid to obovoid to oblong to ellipsoid",82.5,150,82.5,165,534561.624962388,588017.787458627,"Micrometers","Cubic micrometers","Glomeromycota",9719.30227204342,"Azygospores"
"Glomus_flavisporum","Endogone_flavispora Glomus_flavisporus","","",149,149,202,202,95,95,152,152,"ovate to oblong",123.5,175.5,123.5,175.5,1401553.42910841,1401553.42910841,"Micrometers","Cubic micrometers","Glomeromycota",17022.9161430171,"Azygospores"
"Glomus_formosanum",NA,"","",65,65,117,117,65,65,117,117,"globose to sublgobose",91,91,91,91,394568.852926386,394568.852926386,"Micrometers","Cubic micrometers","Glomeromycota",6503.88219109427,"Azygospores"
"Glomus_fragile","Paurocotylis_fragilis Glomus_fragilis","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Micrometers","Cubic micrometers","Glomeromycota",NA,"Azygospores"
"Glomus_fuegianum","Endogone_fuegiana Glomus_fuegianus","","",50,50,85,85,50,50,85,85,"globose to subglobose",67.5,67.5,67.5,67.5,161031.167189083,161031.167189083,"Micrometers","Cubic micrometers","Glomeromycota",3578.47038197962,"Azygospores"
"Glomus_glomerulatum",NA,"","",40,40,70,70,40,40,70,70,"globose to subglobose",55,55,55,55,87113.746290167,87113.746290167,"Micrometers","Cubic micrometers","Glomeromycota",2375.82944427728,"Azygospores"
"Glomus_goaensis",NA,"","",40,40,150,150,40,40,150,150,"subglobose",95,95,95,95,448920.500228591,448920.500228591,"Micrometers","Cubic micrometers","Glomeromycota",7088.21842466197,"Azygospores"
"Glomus_halonatum",NA,"","",200,200,280,280,200,200,280,280,"globose to subglobose",240,240,240,240,7238229.47387088,7238229.47387088,"Micrometers","Cubic micrometers","Glomeromycota",45238.934211693,"Azygospores"
"Glomus_heterosporum",NA,"","",99,99,206,206,61,61,201,201,"obovoid to ellipsoid",131,152.5,131,152.5,1370285.48467647,1370285.48467647,"Micrometers","Cubic micrometers","Glomeromycota",15690.2918092725,"Azygospores"
"Glomus_hoi","Simiglomus_hoi","","",50,80,120,155,45,75,120,140,"globose to subglobose to ellipsoid to irregular",97.5,100,92.5,102.5,497746.086053133,459204.307430577,"Micrometers","Cubic micrometers","Glomeromycota",7657.63209312512,"Azygospores"
"Glomus_hyderabadensis",NA,"","",97,97,136,136,97,97,136,136,"globose to subglobose",116.5,116.5,116.5,116.5,827897.170666282,827897.170666282,"Micrometers","Cubic micrometers","Glomeromycota",10659.620223171,"Azygospores"
"Glomus_kerguelense",NA,"","",153,153,216,216,153,153,216,216,"globose to subglobose",184.5,184.5,184.5,184.5,3288423.42928557,3288423.42928557,"Micrometers","Cubic micrometers","Glomeromycota",26735.14983159,"Azygospores"
"Glomus_lacteum",NA,"","",150,150,220,220,150,150,220,220,"globose to subglobose",185,185,185,185,3315231.09754758,3315231.09754758,"Micrometers","Cubic micrometers","Glomeromycota",26880.2521422777,"Azygospores"
"Glomus_macrocarpum","Endogone_macrocarpa Paurocotylis_fulva Endogone_pampaloniana Endogone_nuda","Glomeraceae","Glomerales(emendation)",90,120,120,140,70,110,110,130,"globose to subglobose",110,120,100,115,760265.42216873,602138.591938044,"Micrometers","Cubic micrometers","Glomeromycota",10367.2557568463,"Azygospores"
"Glomus_magnicaule",NA,"","",125,125,175,175,125,125,175,175,"globose to subglobose",150,150,150,150,1767145.86764426,1767145.86764426,"Micrometers","Cubic micrometers","Glomeromycota",17671.4586764426,"Azygospores"
"Glomus_melanosporum",NA,"","",166,166,277,277,129,129,244,244,"subglobose to obovoid",186.5,221.5,186.5,221.5,4033945.4880307,4033945.4880307,"Micrometers","Cubic micrometers","Glomeromycota",32444.6017804077,"Azygospores"
"Glomus_microaggregatum","Rhizoglomus_microaggregatum","","",15,30,30,50,15,30,30,50,"globose to subglobose to irregular",30,30,32.5,32.5,14137.1669411541,17974.1642185854,"Micrometers","Cubic micrometers","Glomeromycota",706.858347057703,"Azygospores"
"Glomus_microcarpum","Endogone_microcarpus Endogone_neglecta","","",30,40,40,45,30,35,35,40,"globose to subglobose",35,40,35,37.5,25656.3400043166,24052.8187540469,"Micrometers","Cubic micrometers","Glomeromycota",1099.55742875643,"Azygospores"
"Glomus_monosporum",NA,"","",140,140,330,330,140,140,330,330,"globose to subglobose",235,235,235,235,6795199.45986777,6795199.45986777,"Micrometers","Cubic micrometers","Glomeromycota",43373.6135736241,"Azygospores"
"Glomus_mortonii",NA,"","",37,125,125,210,44,149,149,275,"globose to subglobose to pyriform to reniform to irregular",125,149,123.5,159.5,1219003.39943979,1273776.47830651,"Micrometers","Cubic micrometers","Glomeromycota",14628.0407932775,"Azygospores"
"Glomus_multicaule",NA,"","",149,149,249,249,124,124,162,162,"ellipsoid to irregular",143,199,143,199,2130707.20107971,2130707.20107971,"Micrometers","Cubic micrometers","Glomeromycota",22350.0755358012,"Azygospores"
"Glomus_multiforum",NA,"","",170,215,215,230,170,215,215,230,"globose to subglobose",215,215,200,200,5203720.98143674,4188790.20478639,"Micrometers","Cubic micrometers","Glomeromycota",36305.030103047,"Azygospores"
"Glomus_multisubstensum",NA,"","",100,100,150,150,100,100,150,150,"globose to subglobose",125,125,125,125,1022653.85859043,1022653.85859043,"Micrometers","Cubic micrometers","Glomeromycota",12271.8463030851,"Azygospores"
"Glomus_nanolumen",NA,"","",24,30,30,52,20,34,34,63,"subglobose to pyriform to ovoid to irregular",30,34,38,41.5,16022.1225333079,31377.1802265037,"Micrometers","Cubic micrometers","Glomeromycota",801.106126665397,"Azygospores"
"Glomus_pallidum","Glomus_pallidus","","",32,32,78,78,28,28,68,68,"globose to subglobose",48,55,48,55,66350.4368438164,66350.4368438164,"Micrometers","Cubic micrometers","Glomeromycota",2073.45115136926,"Azygospores"
"Glomus_pansihalos",NA,"","",108,130,155,200,110,120,130,180,"globose to subglobose to ellipsoid to irregular",125,142.5,145,154,1165825.39879309,1695334.29557095,"Micrometers","Cubic micrometers","Glomeromycota",13989.904785517,"Azygospores"
"Glomus_pellucidum",NA,"","",60,60,110,110,60,60,110,110,"globose to subglobose",85,85,85,85,321555.098064305,321555.098064305,"Micrometers","Cubic micrometers","Glomeromycota",5674.50173054656,"Azygospores"
"Glomus_perpusillum",NA,"","",10,24,24,30,10,24,24,30,"globose to subglobose",24,24,20,20,7238.22947387088,4188.79020478639,"Micrometers","Cubic micrometers","Glomeromycota",452.38934211693,"Azygospores"
"Glomus_pustulatum",NA,"","",43,86,140,140,60,86,140,140,"globose to irregular",113,113,91.5,100,755499.102514459,438369.984900286,"Micrometers","Cubic micrometers","Glomeromycota",10028.749148422,"Azygospores"
"Glomus_radiatum","Endogone_radiata","","",60,60,110,120,48,48,75,90,"ellipsoid to irregular",61.5,85,69,90,168332.424865567,224356.839356115,"Micrometers","Cubic micrometers","Glomeromycota",4105.66889916016,"Azygospores"
"Glomus_reticulatum","Glomus_reticulatus","","",130,130,170,170,130,130,170,170,"globose",150,150,150,150,1767145.86764426,1767145.86764426,"Micrometers","Cubic micrometers","Glomeromycota",17671.4586764426,"Azygospores"
"Glomus_segmentatum","Glomus_segmentatus","","",52,52,100,100,40,40,86,86,"globose to subglobose to obovoid to ellipsoid",63,76,63,76,157940.429066573,157940.429066573,"Micrometers","Cubic micrometers","Glomeromycota",3760.48640634698,"Azygospores"
"Glomus_spinosum",NA,"","",40,50,70,90,40,50,70,90,"globose to subglobose",60,60,65,65,113097.335529233,143793.313748683,"Micrometers","Cubic micrometers","Glomeromycota",2827.43338823081,"Azygospores"
"Glomus_spinuliferum",NA,"","",110,120,140,154,110,120,140,154,"globose to subglobose",130,130,132,132,1150346.50998946,1204260.42871527,"Micrometers","Cubic micrometers","Glomeromycota",13273.2289614169,"Azygospores"
"Glomus_sterilum","Glomus_sterile","none (invalidly published)","",39.6,136.8,136.8,144,39.6,136.8,136.8,144,"globose to subglobose to irregular",136.8,136.8,91.8,91.8,1340469.43095457,405066.815692782,"Micrometers","Cubic micrometers","Glomeromycota",14698.1297253791,"Azygospores"
"Glomus_tenebrosum","Endogone_tenebrosa","","",200,240,240,270,205,230,230,270,"globose to subglobose",230,240,235,237.5,6647610.054996,6867488.81582381,"Micrometers","Cubic micrometers","Glomeromycota",43353.9786195391,"Azygospores"
"Glomus_tenerum","Glomus_tener","","none (invalidly published)",44,44,130,130,44,44,130,130,"globose",87,87,87,87,344791.364527807,344791.364527807,"Micrometers","Cubic micrometers","Glomeromycota",5944.67869875529,"Azygospores"
"Glomus_tenue","Rhizophagus_tenuis Glomus_tenuis","","",10,10,12,12,10,10,12,12,"globose",11,11,11,11,696.909970321336,696.909970321336,"Micrometers","Cubic micrometers","Glomeromycota",95.0331777710912,"Azygospores"
"Glomus_tetrastratosum",NA,"Glomeraceae","",55,136,136,240,55,136,136,240,NA,136,136,147.5,147.5,1317089.68167139,1680253.01458755,"Micrometers","Cubic micrometers","Glomeromycota",14526.7244301992,"Azygospores"
"Glomus_trufemii",NA,"","",72,72,92,92,79,79,105,105,"sublgobose to elliptical to globose",82,92,82,92,323902.391375312,323902.391375312,"Micrometers","Cubic micrometers","Glomeromycota",5925.04374467035,"Azygospores"
"Glomus_versiforme","Endogone_versiformis","","",125,160,160,180,120,140,140,175,"globose to subglobose to ellipsoid to irregular",140,160,147.5,152.5,1642005.76027627,1737210.7438956,"Micrometers","Cubic micrometers","Glomeromycota",17592.9188601028,"Azygospores"
